[1;96m2023-04-17 23:43:32.290967[1;37m - Patrimonio: [1;35m121829[92m OK[1;37m - Progresso: [1;96m1/304[m
2023-04-18 06:17:44.781897 - Patrimonio: 122398 OK - Progresso: 88/164
2023-04-18 06:17:50.208890 - Patrimonio: 122399 OK - Progresso: 89/164
2023-04-18 06:17:55.494939 - Patrimonio: 122400 OK - Progresso: 90/164
2023-04-18 06:18:01.031066 - Patrimonio: 122401 OK - Progresso: 91/164
2023-04-18 06:18:06.123184 - Patrimonio: 122402 OK - Progresso: 92/164
2023-04-18 06:18:10.600400 - Patrimonio: 122403 OK - Progresso: 93/164
2023-04-18 06:18:15.701183 - Patrimonio: 122404 OK - Progresso: 94/164
2023-04-18 06:18:21.221772 - Patrimonio: 122405 OK - Progresso: 95/164
2023-04-18 06:18:25.879696 - Patrimonio: 122406 OK - Progresso: 96/164
2023-04-18 06:18:37.090378 - Patrimonio: 122407 OK - Progresso: 97/164
2023-04-18 06:18:41.887478 - Patrimonio: 122408 OK - Progresso: 98/164
2023-04-18 06:18:47.419391 - Patrimonio: 122409 OK - Progresso: 99/164
2023-04-18 06:18:52.397544 - Patrimonio: 122410 OK - Progresso: 100/164
2023-04-18 06:18:57.443305 - Patrimonio: 122411 OK - Progresso: 101/164
2023-04-18 06:19:02.505667 - Patrimonio: 122412 OK - Progresso: 102/164
2023-04-18 06:19:08.059353 - Patrimonio: 122413 OK - Progresso: 103/164
2023-04-18 06:19:12.605414 - Patrimonio: 122414 OK - Progresso: 104/164
2023-04-18 06:19:17.630757 - Patrimonio: 122415 OK - Progresso: 105/164
2023-04-18 06:19:22.849758 - Patrimonio: 122416 OK - Progresso: 106/164
2023-04-18 06:19:27.684731 - Patrimonio: 122417 OK - Progresso: 107/164
2023-04-18 06:19:33.000179 - Patrimonio: 122418 OK - Progresso: 108/164
2023-04-18 06:19:38.258969 - Patrimonio: 122419 OK - Progresso: 109/164
2023-04-18 06:19:42.993978 - Patrimonio: 122420 OK - Progresso: 110/164
2023-04-18 06:19:48.402455 - Patrimonio: 122421 OK - Progresso: 111/164
2023-04-18 06:19:53.765316 - Patrimonio: 122422 OK - Progresso: 112/164
2023-04-18 06:19:58.613623 - Patrimonio: 122423 OK - Progresso: 113/164
2023-04-18 06:20:04.096282 - Patrimonio: 122424 OK - Progresso: 114/164
2023-04-18 06:20:09.663090 - Patrimonio: 122425 OK - Progresso: 115/164
2023-04-18 06:20:14.726422 - Patrimonio: 122426 OK - Progresso: 116/164
2023-04-18 06:20:19.837444 - Patrimonio: 122532 OK - Progresso: 117/164
2023-04-18 06:20:24.966373 - Patrimonio: 122533 OK - Progresso: 118/164
2023-04-18 06:20:29.537266 - Patrimonio: 122534 OK - Progresso: 119/164
2023-04-18 06:20:34.660716 - Patrimonio: 122535 OK - Progresso: 120/164
2023-04-18 06:20:39.698660 - Patrimonio: 122536 OK - Progresso: 121/164
2023-04-18 06:20:44.210946 - Patrimonio: 122537 OK - Progresso: 122/164
2023-04-18 06:20:49.400142 - Patrimonio: 122538 OK - Progresso: 123/164
2023-04-18 06:20:54.368687 - Patrimonio: 122539 OK - Progresso: 124/164
2023-04-18 06:20:59.310396 - Patrimonio: 122540 OK - Progresso: 125/164
2023-04-18 06:21:04.895761 - Patrimonio: 122541 OK - Progresso: 126/164
2023-04-18 06:21:10.536503 - Patrimonio: 122542 OK - Progresso: 127/164
2023-04-18 06:21:15.225546 - Patrimonio: 122543 OK - Progresso: 128/164
2023-04-18 06:21:20.191061 - Patrimonio: 122544 OK - Progresso: 129/164
2023-04-18 06:21:25.685027 - Patrimonio: 122545 OK - Progresso: 130/164
2023-04-18 06:21:30.273065 - Patrimonio: 122546 OK - Progresso: 131/164
2023-04-18 06:21:35.858143 - Patrimonio: 122547 OK - Progresso: 132/164
2023-04-18 06:21:40.939811 - Patrimonio: 122548 OK - Progresso: 133/164
2023-04-18 06:21:46.060785 - Patrimonio: 122549 OK - Progresso: 134/164
2023-04-18 06:21:51.347679 - Patrimonio: 122550 OK - Progresso: 135/164
2023-04-18 06:21:56.462545 - Patrimonio: 122551 OK - Progresso: 136/164
2023-04-18 06:22:01.061825 - Patrimonio: 122552 OK - Progresso: 137/164
2023-04-18 06:22:06.270016 - Patrimonio: 137169 OK - Progresso: 138/164
2023-04-18 06:22:11.507727 - Patrimonio: 137203 OK - Progresso: 139/164
2023-04-18 06:22:16.167281 - Patrimonio: 137274 OK - Progresso: 140/164
2023-04-18 06:22:21.179722 - Patrimonio: 137275 OK - Progresso: 141/164
2023-04-18 06:22:26.423710 - Patrimonio: 137276 OK - Progresso: 142/164
2023-04-18 06:22:30.859578 - Patrimonio: 137277 OK - Progresso: 143/164
2023-04-18 06:22:35.852343 - Patrimonio: 137278 OK - Progresso: 144/164
2023-04-18 06:22:41.032937 - Patrimonio: 137279 OK - Progresso: 145/164
2023-04-18 06:22:46.064028 - Patrimonio: 137280 OK - Progresso: 146/164
2023-04-18 06:22:51.207273 - Patrimonio: 137281 OK - Progresso: 147/164
2023-04-18 06:22:56.376187 - Patrimonio: 137282 OK - Progresso: 148/164
2023-04-18 06:23:01.006207 - Patrimonio: 137283 OK - Progresso: 149/164
2023-04-18 06:23:06.195423 - Patrimonio: 137284 OK - Progresso: 150/164
2023-04-18 06:23:11.778988 - Patrimonio: 137285 OK - Progresso: 151/164
2023-04-18 06:23:16.374619 - Patrimonio: 137286 OK - Progresso: 152/164
2023-04-18 06:23:21.376438 - Patrimonio: 137287 OK - Progresso: 153/164
2023-04-18 06:23:26.664900 - Patrimonio: 137288 OK - Progresso: 154/164
